Element,Family,Total_Concentration
Sn,Cucurbitaceae,3.94827
Sn,Dioscoreaceae,0.04511
Sn,Euphorbiaceae,4.7251330000000005
Sn,Fabaceae,10.518495
Sn,Lauraceae,1.605
Sn,Lecythidaceae,0.00329
Sn,Lythraceae,0.0532
Sn,Malvaceae,1.98449
Sn,Moraceae,0.328
Sn,Moringaceae,1.7139739999999999
Sn,Musaceae,1.0351
Sn,Myrtaceae,0.5660000000000001
Sn,Nitrariaceae,0.0387
Sn,Pedaliaceae,0.02085
Sn,Phyllanthaceae,1.19215
Sn,Poaceae,18.3931309
Sn,Proteaceae,0.0964
Sn,Ranunculaceae,0.083
Sn,Rhamnaceae,1.1991
Sn,Rosaceae,0.396
Sn,Rutaceae,0.4691
Sn,Salvadoraceae,0.0226
Sn,Solanaceae,5.508100000000001
Sn,Theaceae,0.2591
Sn,Unknown,1.37331922
Sn,Various,1.6414
Sn,Zingiberaceae,0.584
Sn,Zygophyllaceae,0.0171
Sr,Achariaceae,4.3
Sr,Agaricaceae,9.32
Sr,Amaranthaceae,1556.2
Sr,Amaryllidaceae,82.6
Sr,Anacardiaceae,128.27
Sr,Anisophylleaceae,0.7
Sr,Annonaceae,3.3
Sr,Apiaceae,498.28000000000003
Sr,Apocynaceae,7.5
Sr,Arecaceae,10.719999999999999
Sr,Asphodelaceae,32.7
Sr,Asteraceae,1081.71
Sr,Brassicaceae,2853.6
Sr,Burseraceae,0.6
Sr,Capparaceae,90.4
Sr,Caricaceae,401.19
Sr,Chrysobalanaceae,2.6
Sr,Convolvulaceae,788.4
Sr,Cucurbitaceae,9475.81
Sr,Dioscoreaceae,40.42
Sr,Ephedraceae,49.8
Sr,Euphorbiaceae,1927.1100000000001
Sr,Fabaceae,6713.45
Sr,Fagaceae,1.1099999999999999
Sr,Lamiaceae,1231.03
Sr,Lauraceae,105.63
Sr,Lecythidaceae,242.3
Sr,Loganiaceae,2.0
Sr,Malvaceae,2625.7
Sr,Melastomataceae,7.9
Sr,Moraceae,89.6
Sr,Moringaceae,2653.44
Sr,Musaceae,27.968
Sr,Myrtaceae,13.16
Sr,Olacaceae,1.0
Sr,Orchidaceae,11.4
Sr,Papaveraceae,70.6
Sr,Passifloraceae,1.6
Sr,Pedaliaceae,68.7
Sr,Phyllanthaceae,28.12
Sr,Piperaceae,6.2
Sr,Plantaginaceae,82.0
Sr,Poaceae,1245.4718
Sr,Polygonaceae,0.4
Sr,Proteaceae,2.87
Sr,Ranunculaceae,28.3
Sr,Rhamnaceae,34.709999999999994
Sr,Rosaceae,70.69
Sr,Rubiaceae,7.1
Sr,Rutaceae,44.1
Sr,Solanaceae,186.589
Sr,Theaceae,69.1
Sr,Unknown,3626.16
Sr,Various,2406.56
Sr,Zingiberaceae,13.58
Ta,Agaricaceae,0.0017920000000000002
Ta,Amaranthaceae,0.01222
Ta,Anacardiaceae,0.016510999999999998
Ta,Arecaceae,0.00293
Ta,Asteraceae,0.01652365
Ta,Brassicaceae,0.04395
Ta,Caricaceae,0.01074
Ta,Convolvulaceae,0.034601
Ta,Cucurbitaceae,0.038914000000000004
Ta,Dioscoreaceae,0.00269
Ta,Euphorbiaceae,0.068549
Ta,Fabaceae,0.11546033
Ta,Malvaceae,0.019827
Ta,Moraceae,0.000292
Ta,Moringaceae,0.0215
Ta,Musaceae,0.01251
Ta,Myrtaceae,0.00999
Ta,Plantaginaceae,0.08
Ta,Poaceae,0.287428
Ta,Proteaceae,0.000291
Ta,Rosaceae,0.00282
Ta,Solanaceae,0.026619999999999998
Ta,Theaceae,0.000139
Ta,Unknown,0.030297
Ta,Various,0.5026
Ta,Zingiberaceae,0.00121
Tb,Agaricaceae,0.02011
Tb,Amaranthaceae,0.03102
Tb,Amaryllidaceae,0.000453
Tb,Anacardiaceae,0.0025549
Tb,Arecaceae,0.00027
Tb,Asteraceae,0.191971
Tb,Blechnaceae,22.89
Tb,Brassicaceae,0.11064
Tb,Caricaceae,0.0064659999999999995
Tb,Convolvulaceae,0.2820345
Tb,Cucurbitaceae,0.29444
Tb,Dioscoreaceae,2.76e-06
Tb,Ericaceae,0.507
Tb,Euphorbiaceae,0.205261
Tb,Fabaceae,0.2368308
Tb,Gleicheniaceae,47.599999999999994
Tb,Malvaceae,0.41373509999999997
Tb,Moraceae,0.00874
Tb,Moringaceae,0.654853
Tb,Musaceae,0.0003454
Tb,Myrtaceae,0.0014724
Tb,Phyllanthaceae,0.0006050000000000001
Tb,Pinaceae,0.35810000000000003
Tb,Poaceae,2.7537060899999997
Tb,Polypodiaceae,10.51
Tb,Proteaceae,1.43e-06
Tb,Pteridaceae,20.41
Tb,Rhamnaceae,0.0011840000000000002
Tb,Rosaceae,0.0422
Tb,Rutaceae,0.000532
Tb,Solanaceae,0.0089009
Tb,Theaceae,0.05611
Tb,Thelypteridaceae,13.14
Tb,Unknown,1.235278
Tb,Various,0.51205
Tb,Zingiberaceae,0.000368
Th,Agaricaceae,1.407
Th,Amaranthaceae,4.5600000000000005
Th,Amaryllidaceae,0.007102000000000001
Th,Anacardiaceae,0.0229081
Th,Apiaceae,0.0282
Th,Arecaceae,0.00258
Th,Asteraceae,4.16439
Th,Brassicaceae,3.6901699999999997
Th,Caricaceae,0.020125
Th,Convolvulaceae,1.742083
Th,Cucurbitaceae,12.151900000000001
Th,Dioscoreaceae,0.00802
Th,Euphorbiaceae,0.80421
Th,Fabaceae,1.7277662
Th,Lauraceae,0.01379
Th,Lecythidaceae,0.00433
Th,Malvaceae,4.33397
Th,Moraceae,0.0181
Th,Moringaceae,0.89378
Th,Musaceae,0.009653
Th,Myrtaceae,0.00011
Th,Pedaliaceae,0.0115
Th,Phyllanthaceae,0.011178
Th,Plantaginaceae,0.63
Th,Poaceae,3.3447911
Th,Proteaceae,0.00322
Th,Rhamnaceae,0.00414
Th,Rosaceae,0.153
Th,Rutaceae,0.000377
Th,Solanaceae,0.074632
Th,Theaceae,0.023939
Th,Unknown,13.53092
Th,Various,8.9879
Ti,Agaricaceae,68.64999999999999
Ti,Amaranthaceae,480.42
Ti,Amaryllidaceae,2.124
Ti,Anacardiaceae,7.54
Ti,Anisophylleaceae,0.3
Ti,Annonaceae,0.6
Ti,Apiaceae,2.12
Ti,Apocynaceae,5.9
Ti,Arecaceae,1.01
Ti,Asphodelaceae,2.0
Ti,Asteraceae,348.504
Ti,Brassicaceae,479.046
Ti,Burseraceae,1.0
Ti,Caricaceae,2.143
Ti,Convolvulaceae,280.7706
Ti,Cucurbitaceae,1372.702
Ti,Dioscoreaceae,2.023
Ti,Euphorbiaceae,214.6718
Ti,Fabaceae,521.6633
Ti,Hylocomiaceae,220.0
Ti,Lamiaceae,3104.0
Ti,Lauraceae,6.787999999999999
Ti,Lecythidaceae,0.591
Ti,Loganiaceae,0.7
Ti,Malvaceae,667.962
Ti,Moraceae,4.99
Ti,Moringaceae,267.987
Ti,Musaceae,1.3559999999999999
Ti,Myrtaceae,3.8108000000000004
Ti,Pedaliaceae,4.34
Ti,Phyllanthaceae,2.686
Ti,Piperaceae,3.0
Ti,Poaceae,429.94987000000003
Ti,Polygonaceae,0.5
Ti,Proteaceae,0.165
Ti,Rhamnaceae,2.52
Ti,Rosaceae,65.7
Ti,Rubiaceae,1.3
Ti,Rutaceae,0.677
Ti,Solanaceae,25.155
Ti,Theaceae,4.01
Ti,Unknown,2794.81
Ti,Various,12857.18
Ti,Zingiberaceae,0.514
Tm,Agaricaceae,0.02898
Tm,Amaranthaceae,0.0115623
Tm,Amaryllidaceae,0.000449
Tm,Anacardiaceae,0.015563800000000001
Tm,Arecaceae,0.0002242
Tm,Asteraceae,0.06914250000000001
Tm,Brassicaceae,0.0470846
Tm,Caricaceae,0.015215
Tm,Convolvulaceae,0.12485711
Tm,Cucurbitaceae,0.142677
Tm,Dioscoreaceae,0.010163100000000001
Tm,Euphorbiaceae,0.16350546000000002
Tm,Fabaceae,0.29271291
Tm,Malvaceae,0.2188172
Tm,Moraceae,0.002516
Tm,Moringaceae,0.23940899999999998
Tm,Musaceae,0.0021107
Tm,Myrtaceae,0.0120375
Tm,Phyllanthaceae,0.0006166
Tm,Poaceae,1.2262042375
Tm,Proteaceae,0.00495
Tm,Rhamnaceae,0.0010179999999999998
Tm,Rosaceae,0.013194
Tm,Rutaceae,8.5e-05
Tm,Solanaceae,0.0091625
Tm,Theaceae,0.04393
Tm,Unknown,0.6092749
Tm,Zingiberaceae,0.0001721
U,Agaricaceae,0.1607
U,Amaranthaceae,0.57769
U,Amaryllidaceae,0.0028989999999999997
U,Anacardiaceae,0.013877
U,Apiaceae,0.00732
U,Arecaceae,0.00079
U,Asteraceae,321.89593
U,Brassicaceae,494.189193
U,Caricaceae,0.007023
U,Convolvulaceae,0.5385672
U,Cucurbitaceae,2.421831
U,Dioscoreaceae,0.005696
U,Euphorbiaceae,0.18792889999999998
U,Fabaceae,0.499108
U,Lauraceae,0.0055899999999999995
U,Lecythidaceae,0.000716
U,Malvaceae,0.8708049999999999
U,Moraceae,0.00442
U,Moringaceae,0.21725
U,Musaceae,0.0021798
U,Myrtaceae,0.00058
U,Pedaliaceae,0.00318
U,Phyllanthaceae,0.002248
U,Plantaginaceae,0.2
U,Poaceae,2.47008901
U,Rhamnaceae,0.001798
U,Rosaceae,0.0545
U,Rutaceae,0.000492
U,Solanaceae,0.059029
U,Theaceae,0.002998
U,Unknown,1.5502610000000001
U,Various,7.9125000000000005
U,Zingiberaceae,0.00105
V,Agaricaceae,3.6660000000000004
V,Amaranthaceae,24.913
V,Amaryllidaceae,0.04615
V,Anacardiaceae,0.5201
V,Apiaceae,92.2843
V,Asteraceae,13.7309
V,Brassicaceae,27.4682
V,Capparaceae,9.71
V,Caricaceae,0.00987
V,Cladoniaceae,8.35
V,Convolvulaceae,16.58437
V,Cucurbitaceae,55.50604
V,Dioscoreaceae,0.07930000000000001
V,Ephedraceae,0.34
V,Euphorbiaceae,11.81297
V,Fabaceae,33.943681
V,Lamiaceae,301.96
V,Lauraceae,6.361
V,Lecythidaceae,0.0187
V,Malvaceae,30.2059
V,Moraceae,0.414
V,Moringaceae,16.5264
V,Musaceae,0.04569
V,Myrtaceae,0.00719
V,Orchidaceae,1.08
V,Papaveraceae,13.9
V,Parmeliaceae,161.69
V,Pedaliaceae,0.132
V,Peltigeraceae,2.97
V,Phyllanthaceae,0.1244
V,Poaceae,68.333409
V,Proteaceae,0.00911
V,Ranunculaceae,1.41
V,Rosaceae,13.99
V,Solanaceae,4.037685
V,Stereocaulaceae,0.72
V,Teloschistaceae,0.87
V,Theaceae,0.3675
V,Umbilicariaceae,28.65
V,Unknown,240.09821
V,Various,136.815
V,Zingiberaceae,0.045
W,Agaricaceae,0.03361
W,Amaranthaceae,0.06843
W,Amaryllidaceae,0.013406
W,Anacardiaceae,0.032131
W,Apiaceae,0.014
W,Asteraceae,0.25134999999999996
W,Brassicaceae,0.53232
W,Caricaceae,0.008910000000000001
W,Convolvulaceae,0.1078034
W,Cucurbitaceae,0.28284
W,Dioscoreaceae,0.005502
W,Euphorbiaceae,0.282074
W,Fabaceae,1.022805
W,Lauraceae,0.00985
W,Lecythidaceae,0.00411
W,Malvaceae,0.17441399999999999
W,Moraceae,0.00339
W,Moringaceae,0.160611
W,Musaceae,0.007988
W,Myrtaceae,0.00162
W,Pedaliaceae,0.000306
W,Phyllanthaceae,0.004955
W,Poaceae,1.5280316999999999
W,Rhamnaceae,0.01352
W,Rosaceae,0.00193
W,Rutaceae,0.00967
W,Solanaceae,0.311193
W,Theaceae,0.0036999999999999997
W,Unknown,0.175092
W,Various,2.577
W,Zingiberaceae,0.0174
Y,Agaricaceae,0.352
Y,Amaranthaceae,1.242
Y,Amaryllidaceae,0.0134
Y,Anacardiaceae,0.11957
Y,Arecaceae,0.00774
Y,Asteraceae,4.23942
Y,Brassicaceae,4.5639
Y,Caricaceae,0.3099
Y,Convolvulaceae,11.66845
Y,Cucurbitaceae,11.032399999999999
Y,Cyperaceae,3104.0
Y,Dioscoreaceae,0.00136
Y,Euphorbiaceae,7.8011800000000004
Y,Fabaceae,7.39493
Y,Gleicheniaceae,3540.0
Y,Malvaceae,18.06017
Y,Melastomataceae,105.0
Y,Moraceae,0.276
Y,Moringaceae,51.4336
Y,Musaceae,0.01281
Y,Myrtaceae,0.05405
Y,Phyllanthaceae,0.02107
Y,Poaceae,11.455406
Y,Proteaceae,0.00114
Y,Rhamnaceae,0.0275
Y,Rosaceae,1.08
Y,Rutaceae,0.0185
Y,Solanaceae,0.41185
Y,Theaceae,2.141
Y,Unknown,36.93655
Y,Various,8.403
Y,Zingiberaceae,0.00623
Yb,Agaricaceae,0.020659999999999998
Yb,Amaranthaceae,0.063
Yb,Amaryllidaceae,0.00144
Yb,Anacardiaceae,0.005696
Yb,Arecaceae,0.000599
Yb,Asteraceae,0.21439699999999998
Yb,Blechnaceae,54.0
Yb,Brassicaceae,0.1888
Yb,Caricaceae,0.014152
Yb,Convolvulaceae,0.5042708
Yb,Cucurbitaceae,0.71567
Yb,Dioscoreaceae,0.000115
Yb,Ericaceae,2.209
Yb,Euphorbiaceae,0.505631
Yb,Fabaceae,0.5532426
Yb,Gleicheniaceae,141.0
Yb,Malvaceae,0.860093
Yb,Moraceae,0.0143
Yb,Moringaceae,1.3797000000000001
Yb,Musaceae,0.0007065999999999999
Yb,Myrtaceae,0.0030529999999999997
Yb,Phyllanthaceae,0.001078
Yb,Pinaceae,1.471
Yb,Plantaginaceae,0.2
Yb,Poaceae,10.7158654
Yb,Polypodiaceae,34.1
Yb,Proteaceae,4.88e-05
Yb,Pteridaceae,66.91
Yb,Rhamnaceae,0.002111
Yb,Rosaceae,0.0871
Yb,Rutaceae,0.00125
Yb,Solanaceae,0.019656
Yb,Theaceae,0.17859999999999998
Yb,Thelypteridaceae,49.9
Yb,Unknown,3.5053609999999997
Yb,Various,2.1086
Yb,Zingiberaceae,0.000663
Zn,Acanthaceae,25.3666
Zn,Achariaceae,5.6
Zn,Adoxaceae,332.0
Zn,Agaricaceae,1707.73
Zn,Alismataceae,358.0
Zn,Amaranthaceae,2298.255
Zn,Amaryllidaceae,3371.224
Zn,Amblystegiaceae,21.13
Zn,Anacardiaceae,1032.54
Zn,Anisophylleaceae,2.2
Zn,Annonaceae,1341.1
Zn,Apiaceae,1381.17
Zn,Apocynaceae,2180.5
Zn,Araceae,33159.0
Zn,Araliaceae,539.0
Zn,Arecaceae,96.6
Zn,Aristolochiaceae,1584.0
Zn,Asparagaceae,1567.8
Zn,Asphodelaceae,25.8
Zn,Asteraceae,8461.041
Zn,Athyriaceae,576.18
Zn,Balsaminaceae,2119.0
Zn,Basellaceae,37.3
Zn,Berberidaceae,1378.68
Zn,Betulaceae,2401.26
Zn,Bignoniaceae,380.2
Zn,Bixaceae,34.8
Zn,Boraginaceae,91.94
Zn,Brassicaceae,5601.16
Zn,Bromeliaceae,34.06
Zn,Burseraceae,83.7
Zn,Cactaceae,50.05
Zn,Cannabaceae,78.23
Zn,Capparaceae,43.1
Zn,Caricaceae,46.2
Zn,Chrysobalanaceae,1.1
Zn,Cistaceae,112.0
Zn,Cladoniaceae,124.0
Zn,Clusiaceae,339.2
Zn,Combretaceae,477.52
Zn,Commelinaceae,457.8
Zn,Convolvulaceae,5234.39
Zn,Cucurbitaceae,1985.3
Zn,Cunoniaceae,174.0
Zn,Cupressaceae,44.43
Zn,Cyperaceae,1023.1
Zn,Dennstaedtiaceae,2352.6
Zn,Dichapetalaceae,4920.0
Zn,Dioscoreaceae,84.78
Zn,Ebenaceae,60.03
Zn,Elaeagnaceae,2108.71
Zn,Elaeocarpaceae,638.89
Zn,Ephedraceae,14.0
Zn,Equisetaceae,416.44
Zn,Ericaceae,2026.07
Zn,Euphorbiaceae,1900.75
Zn,Fabaceae,11791.91
Zn,Fagaceae,1529.63
Zn,Gentianaceae,1284.0
Zn,Gnetaceae,40.0
Zn,Hydnoraceae,15.5
Zn,Hylocomiaceae,27.5
Zn,Juglandaceae,315.69
Zn,Juncaceae,730.0
Zn,Lamiaceae,1863.3919
Zn,Lauraceae,3152.18
Zn,Lecythidaceae,177.4
Zn,Loganiaceae,1.5
Zn,Lythraceae,28.39
Zn,Malvaceae,2128.993333
Zn,Melastomataceae,7.5
Zn,Meliaceae,83.97
Zn,Moraceae,1224.98
Zn,Moringaceae,551.56
Zn,Musaceae,77.22999999999999
Zn,Myrtaceae,726.87
Zn,Nitrariaceae,23.900000000000002
Zn,Olacaceae,8.2
Zn,Oleaceae,254.84
Zn,Ophioglossaceae,8.87
Zn,Orchidaceae,7.33
Zn,Oxalidaceae,5678.0
Zn,Papaveraceae,169.14
Zn,Parmeliaceae,487.0
Zn,Passifloraceae,1068.7
Zn,Pedaliaceae,92.1
Zn,Peltigeraceae,44.0
Zn,Phyllanthaceae,6382.65
Zn,Phytolaccaceae,5001.0
Zn,Pinaceae,90.82
Zn,Piperaceae,10.23
Zn,Plantaginaceae,22042.0
Zn,Plumbaginaceae,6270.0
Zn,Poaceae,17718.92
Zn,Polygonaceae,3531.544
Zn,Portulacaceae,1.14
Zn,Primulaceae,331.46000000000004
Zn,Proteaceae,57.1
Zn,Ranunculaceae,1648.2
Zn,Resedaceae,73.6
Zn,Rhamnaceae,3213.27
Zn,Rosaceae,6834.59
Zn,Rubiaceae,576.89
Zn,Rutaceae,1328.29
Zn,Salicaceae,7375.33
Zn,Salvadoraceae,8.0
Zn,Santalaceae,52.02
Zn,Sapindaceae,108.2
Zn,Sapotaceae,1115.97
Zn,Scrophulariaceae,613.49
Zn,Smilacaceae,2683.0
Zn,Solanaceae,1280.9486
Zn,Stereocaulaceae,20.0
Zn,Tamaricaceae,2.95
Zn,Teloschistaceae,21.0
Zn,Theaceae,41.599999999999994
Zn,Ulmaceae,39.04
Zn,Umbilicariaceae,111.0
Zn,Unknown,800.04
Zn,Various,36411.18
Zn,Verbenaceae,2788.29
Zn,Violaceae,5968.0
Zn,Vitaceae,2114.0
Zn,Zingiberaceae,111.69999999999999
Zn,Zygophyllaceae,38.43
Zr,Agaricaceae,0.1252
Zr,Amaranthaceae,0.4447
Zr,Amaryllidaceae,0.0049
Zr,Anacardiaceae,0.09002
Zr,Arecaceae,0.0075
Zr,Asteraceae,4.4173800000000005
Zr,Brassicaceae,1.5693
Zr,Caricaceae,0.03221
Zr,Convolvulaceae,1.278
Zr,Cucurbitaceae,2.6023400000000003
Zr,Dioscoreaceae,0.0141
Zr,Euphorbiaceae,1.708117
Zr,Fabaceae,4.553574
Zr,Hydnoraceae,0.68
Zr,Lamiaceae,175.0
Zr,Malvaceae,1.6108
Zr,Moraceae,0.0451
Zr,Moringaceae,4.0837
Zr,Musaceae,0.017521000000000002
Zr,Myrtaceae,0.00392
Zr,Phyllanthaceae,0.0049
Zr,Piperaceae,0.98
Zr,Poaceae,6.8210669
Zr,Proteaceae,0.00157
Zr,Rhamnaceae,0.02131
Zr,Rosaceae,0.13
Zr,Rubiaceae,0.32
Zr,Rutaceae,0.00369
Zr,Solanaceae,0.11225
Zr,Tamaricaceae,0.27
Zr,Theaceae,0.04211
Zr,Unknown,21.27958
Zr,Various,229.6456
Zr,Zygophyllaceae,8.2
